wid,txtid,inv_nr,cth_number,lnr,trans,text,text_tags,text_clean,subscr,matlect,num,sign,corr,deleted,added,ras,rasx,gap,note,link,mrp0sel,combined,,,,,,,,,
35,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 7,laparnaš,la-ba-ar-,la-ba-ar-<laes_in/>na<laes_fin/>-aš,la-ba-ar-⸢na⸣-aš,,,,,,,,,,,,,1b ,{'lg': 'Hit', 'mrp1': 'labarn=a-@(Königstitel)@{ a → NOM.SG.C} { b → GEN.SG} { c → VOC.SG} { d → GEN.PL} { e → D/L.PL}@1.1@(LÚ)', 'mrp2': 'laparn=a-@Labarna@{ a → PNm.NOM.SG.C} { b → PNm.GEN.SG}@38.2@(m)'},,,,,,,
36,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 7,LUGALuaš,,<sGr>LUGAL</sGr>-w<del_in/>a-a<del_fin/>š,LUGAL-w[a-a]š,,,,,,,,,,,,,1a ,{'lg': 'Hit', 'mrp1': 'LUGAL=u-@König@{ a → FNL(u).GEN.SG} { b → FNL(u).GEN.PL} { c → FNL(u).D/L.PL}@28.3.1.1@'},,,,,,,,
37,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 7,NÍ.TEaš,,<sGr>NÍ.TE</sGr>-aš,NÍ.TE-aš,,,,,,,,,,,,,1b ,{'lg': 'Hit', 'mrp1': 'NÍ.TE=@Körper@{ a → FNL(a).NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@28.1.1@', 'mrp2': 'NÍ.TE=@Körper@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@'},,,,,,,
38,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 7,irḫašša,ir,"ir<corr c=""!""/>-ḫa-aš-ša",ir-ḫa-aš-ša,,,,,"ir<corr c=""!""/>",,,,,,,,1e ,{'lg': 'Hit', 'mrp1': 'irḫ=a-@Grenze@{ a → NOM.SG.C} { b → GEN.SG} { c → VOC.SG} { d → GEN.PL} { e → D/L.PL}@1.1@+= ya@CNJadd@'},,,,,,,,
39,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 8,šalika,ša-li-ga,"ša-li-ga<note n=""1"" c=""Eine Lesung mit der Endung -ri ist anhand der Fotos auszuschließen (gegen <SP_f_AO_3a_-LIT>Masalcı Şahin G. - Aykut İ. - Sir Gavaz Ö. 2021a</SP_f_AO_3a_-LIT>: 422).""/>",ša-li-ga,,,,,,,,,,,"<note n=""1"" c=""Eine Lesung mit der Endung -ri ist anhand der Fotos auszuschließen (gegen <SP_f_AO_3a_-LIT>Masalcı Şahin G. - Aykut İ. - Sir Gavaz Ö. 2021a</SP_f_AO_3a_-LIT>: 422).""/>",,1,{'lg': 'Hit', 'mrp1': 'šalik-@berühren@3SG.PRS.MP@III.1.9@', 'mrp2': 'šalik=@berühren@2SG.IMP@I.1.1 += ma@CNJctr@@'},,,,,,,
40,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 8,,na-an,na-an,na-an,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'n=an@@CONNn=PPRO.3SG.C.ACC@@'},,,,,,,,
41,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 8,10aš,,<d>D</d><sGr>10</sGr>-aš,~D~10-aš,,,,,,,,,,,,,1a ,{'lg': 'Hit', 'mrp1': '10=@Wettergott@{ a → DN.FNL(a).HITT.NOM.SG} { b → DN.HITT.GEN.SG} { c → DN.HITT.GEN.PL} { d → DN.HITT.D/L.PL}@35.10.1@D', 'mrp2': '10=@Wettergott@DN.HURR.ERG@35.10.1@D', 'mrp3': '10=@Wettergott@{ a → DN.HURR.ABS} { b → DN.NOM.SG(UNM)} { c → DN.ACC.SG(UNM)} { d → DN.GEN.SG(UNM)} { e → DN.D/L.SG(UNM)} { f → DN.ABL(UNM)} { g → DN.INS(UNM)} { h → DN.VOC.SG(UNM)}@35.10.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@D', 'mrp4': '10=@Tarḫuntašša@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@URU.D'},,,,,
42,IBoT 1.30+,Bo 8141 {€2},821,{€1+2} Vs. 8,ḫarniktu,,<laes_in/>ḫar<laes_fin/>-ni-ik-du,⸢ḫar⸣-ni-ik-du,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'ḫar=ni(n)k-@zerstören@3SG.IMP@I.4@'},,,,,,,,
0,KUB 48.13,,821,Vs. 1′,,,"<space c=""30""/>",******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KUB 48.13,,821,Vs. 1′,~ti,-t,-t<del_fin/>i,-t]i,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KUB 48.13,,821,Vs. 1′,nu,nu,nu,nu,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'nu@@CONNn@@'},,,,,,,,
3,KUB 48.13,,821,Vs. 1′,DUMU.É.GAL,,<sGr>DUMU.É.GAL</sGr>,DUMU.É.GAL,,,,,,,,,,,,,1a ,{'lg': 'Hit', 'mrp1': 'DUMU.É.GAL=i-@Palastbediensteter@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.2.1.1@'},,,,,,,,
4,KUB 48.13,,821,Vs. 1′,Ù,,<aGr>Ù</aGr>,#Ù#,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'U@und@CNJadd@@', 'mrp2': 'Ù=@Schlaf@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@', 'mrp3': 'Ù=@schlafen@@@'},,,,,,
5,KUB 48.13,,821,Vs. 1′,SANGA,,<d>LÚ</d><sGr>S<del_in/>ANGA</sGr>,~LÚ~S[ANGA,,,,,,,,,,,,,1a ,{'lg': 'Hit', 'mrp1': 'SANGA=@Priester@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1@(LÚ)', 'mrp2': 'SANGA=@Priester@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.2.1.1@(LÚ)', 'mrp3': 'SANGA=n-@Priester@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1.1@(LÚ)'},,,,,,
6,KUB 48.13,,821,Vs. 2′,,,"<space c=""28""/>",****************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
7,KUB 48.13,,821,Vs. 2′,,,<del_fin/>,],,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
8,KUB 48.13,,821,Vs. 2′,aranzi,,<laes_in/>a<laes_fin/>-ra-an-zi,⸢a⸣-ra-an-zi,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'ar-/er-@ankommen@3PL.PRS@II.1.1@', 'mrp2': 'ar=ae-@erheben@3PL.PRS@I.9@', 'mrp3': 'ar=a-@waschen@3PL.PRS@II.1.3@'},,,,,,
9,KUB 48.13,,821,Vs. 2′,nu,nu,nu,nu,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'nu@@CONNn@@'},,,,,,,,
10,KUB 48.13,,821,Vs. 2′,namma,nam-ma,nam-ma,nam-ma,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'namma@dann@@CNJ@', 'mrp2': 'namma@dann@@CNJ@'},,,,,,,
11,KUB 48.13,,821,Vs. 2′,10,,<d>D</d><sGr>10</sGr>,~D~10,,,,,,,,,,,,,1c ,{'lg': 'Hit', 'mrp1': '10=@Wettergott@{ a → DN.HURR.ABS} { b → DN.NOM.SG(UNM)} { c → DN.ACC.SG(UNM)} { d → DN.GEN.SG(UNM)} { e → DN.D/L.SG(UNM)} { f → DN.ABL(UNM)} { g → DN.INS(UNM)} { h → DN.VOC.SG(UNM)}@35.10.1@D', 'mrp2': '10=@Tarḫuntašša@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.1@URU.D'},,,,,,,
12,KUB 48.13,,821,Vs. 3′,,,"<space c=""21""/>",*********************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
13,KUB 48.13,,821,Vs. 3′,namma,na,na<del_fin/>m-ma,na]m-ma,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'namma@dann@@CNJ@', 'mrp2': 'namma@dann@@CNJ@'},,,,,,,
14,KUB 48.13,,821,Vs. 3′,10,,<d>D</d><sGr>10</sGr>,~D~10,,,,,,,,,,,,,1c ,{'lg': 'Hit', 'mrp1': '10=@Wettergott@{ a → DN.HURR.ABS} { b → DN.NOM.SG(UNM)} { c → DN.ACC.SG(UNM)} { d → DN.GEN.SG(UNM)} { e → DN.D/L.SG(UNM)} { f → DN.ABL(UNM)} { g → DN.INS(UNM)} { h → DN.VOC.SG(UNM)}@35.10.1@D', 'mrp2': '10=@Tarḫuntašša@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.1@URU.D'},,,,,,,
15,KUB 48.13,,821,Vs. 3′,akuanzi,a-ku-wa-an-zi,a-ku-wa-an-zi,a-ku-wa-an-zi,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'eku-/aku-@trinken@3PL.PRS@I.2.2@'},,,,,,,,
16,KUB 48.13,,821,Vs. 4′,,,"<space c=""9""/>",*********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
17,KUB 48.13,,821,Vs. 4′,menaḫḫanta,me-na-a,me-na-a<del_fin/>ḫ-ḫa-an-da,me-na-a]ḫ-ḫa-an-da,,,,,,,,,,,,,3,{'lg': 'Hit', 'mrp1': 'menaḫḫanda@gegenüber@@ADV@', 'mrp2': 'menaḫḫanda@gegenüber@@POSP@', 'mrp3': 'menaḫḫanda@entgegen-@@PREV@'},,,,,,
18,KUB 48.13,,821,Vs. 4′,utai,ú-da-a-i,ú-da-a-i,ú-da-a-i,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'ud=a-@(her)bringen@3SG.PRS@II.3@', 'mrp2': 'ut=a-@Uda@GN.D/L.SG@39.2@URU'},,,,,,,
19,KUB 48.13,,821,Vs. 5′,,,"<space c=""13""/>",*************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
20,KUB 48.13,,821,Vs. 5′,GEŠTIN,,<sGr>GEŠT<del_fin/>IN</sGr>,GEŠT]IN,,,,,,,,,,,,,2e ,{'lg': 'Hit', 'mrp1': 'GEŠTIN=@Weinfunktionär@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@(LÚ)', 'mrp2': 'GEŠTIN=a-@Wein@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1@(GIŠ)', 'mrp3': 'GEŠTIN=na-@Wein@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1.1@'},,,,,,
21,KUB 48.13,,821,Vs. 5′,MAR.GÍD.DAaš,,<d>GIŠ</d><sGr>MAR.GÍD.DA</sGr>-aš,~GIŠ~MAR.GÍD.DA-aš,,,,,,,,,,,,,2gR ,{'lg': 'Hit', 'mrp1': 'MAR.GÍD.DA=@Lastwagen@{ a → NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@29.1.1@GIŠ', 'mrp2': 'MAR.GÍD.DA=@Lastwagen@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@GIŠ'},,,,,,,
22,KUB 48.13,,821,Vs. 5′,peran,pé-ra-an,pé-ra-an,pé-ra-an,,,,,,,,,,,,,2,{'lg': 'Hit', 'mrp1': 'peran@vor@@ADV@', 'mrp2': 'peran@vor@@POSP@', 'mrp3': 'peran@vor-@@PREV@', 'mrp4': 'per, parn-@Haus@{ a → NOM.SG.N} { b → ACC.SG.N} { c → STF} { d → D/L.SG} { e → NOM.PL.N} { f → ACC.PL.N}@16 += an@PPRO.3SG.C.ACC@@'},,,,
23,KUB 48.13,,821,Vs. 5′,BALti,,<sGr>BAL</sGr>-<laes_in/>ti<laes_fin/>,BAL-⸢ti⸣,,,,,,,,,,,,,2a ,{'lg': 'Hit', 'mrp1': 'BAL=@libieren@PTCP.D/L.SG@I.29.1.1@', 'mrp2': 'BAL=@libieren@{ a → 3SG.PRS} { b → 2SG.IMP}@II.29.1.1@'},,,,,,,
24,KUB 48.13,,821,Vs. 6′,,,"<space c=""17""/>",*****************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
25,KUB 48.13,,821,Vs. 6′,GÌR.GUB,,<d>GI<del_fin/>Š</d><sGr>GÌR.GUB</sGr>,~GI]Š~GÌR.GUB,,,,,,,,,,,,,1b 1d ,{'lg': 'Hit', 'mrp1': 'GÌR.GUB=@Fußschemel@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@GIŠ'},,,,,,,,
26,KUB 48.13,,821,Vs. 6′,ḫašḫaššanzi,ḫa-aš-ḫa-aš-ša-an-zi,ḫa-aš-ḫa-aš-ša-an-zi,ḫa-aš-ḫa-aš-ša-an-zi,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'ḫašḫašš=@abschaben@3PL.PRS@I.1.1@'},,,,,,,,
27,KUB 48.13,,821,Vs. 7′,,,"<space c=""14""/>",**************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
28,KUB 48.13,,821,Vs. 7′,atanna,a-d,a-d<del_fin/>a-an-na,a-d]a-an-na,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'ēd-/ad-@essen@INF@I.2.4@', 'mrp2': 'adan=i-@Fußbank(?)@{ a → HURR.ABS.PL} { b → HURR.RLT.PL.ABS}@30.10.1@', 'mrp3': 'ēd-/ad-@essen@{ a → PTCP.NOM.SG.N} { b → PTCP.ACC.SG.N} { c → PTCP.INDCL}@I.2.4@+= ya@CNJadd@'},,,,,,
29,KUB 48.13,,821,Vs. 7′,akuanna,a-ku-wa-an-na,a-ku-wa-an-na,a-ku-wa-an-na,,,,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': 'eku-/aku-@trinken@INF@I.2.2@', 'mrp2': 'ak=u-@Stein@GEN.PL@3.1.1@NA₄ += ya@CNJadd@', 'mrp3': 'akuw=ant-@steinig@{ a → NOM.SG.N} { b → ACC.SG.N} { c → ADV}@13.2@NA₄ += ya@CNJadd@', 'mrp4': 'eku-/aku-@trinken@{ a → PTCP.NOM.SG.N} { b → PTCP.ACC.SG.N} { c → PTCP.INDCL}@I.2.2@+= ya@CNJadd@'},,,,,
30,KUB 48.13,,821,Vs. 7′,AGRIG,,<d>LÚ</d><sGr>AGRIG</sGr>,~LÚ~AGRIG,,,,,,,,,,,,,1sg ,{'lg': 'Hit', 'mrp1': 'AGRIG=a-@Verwalter@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1@LÚ'},,,,,,,,
31,KUB 48.13,,821,Vs. 7′,kaštama,,<d>URU</d>ka-aš-da-ma,~URU~ka-aš-da-ma,,,,,,,,,,,,,1c ,{'lg': 'Hit', 'mrp1': 'kaštam=a-@Kaštam(m)a@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG} { i → GN.STF} { j → GN.HURR.ABS.SG}@39.2@URU', 'mrp2': 'kaštam=a-@Kaštam(m)a@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.2 += ma@CNJctr@@URU'},,,,,,,
32,KUB 48.13,,821,Vs. 8′,,,"<space c=""19""/>",*******************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
33,KUB 48.13,,821,Vs. 8′,,,<del_fin/>,],,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
34,KUB 48.13,,821,Vs. 9′,,,"<space c=""18""/>",******************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
35,KUB 48.13,,821,Vs. 9′,taḫanka,t,t<del_fin/>a-a-ḫa-an-ga,t]a-a-ḫa-an-ga,,,,,,,,,,,,,2d ,{'lg': 'Hit', 'mrp1': 'daḫang=a-@(Schrein)@{ a → ALL} { b → VOC.SG} { c → STF}@1.4@(GIŠ/NA₄)', 'mrp2': 'taḫank=a-@Daḫanga@{ a → DN.NOM.SG(UNM)} { b → DN.ACC.SG(UNM)} { c → DN.GEN.SG(UNM)} { d → DN.D/L.SG(UNM)} { e → DN.ABL(UNM)} { f → DN.INS(UNM)} { g → DN.VOC.SG}@35.1.1@D', 'mrp3': 'taḫank=a-@Taḫanka@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG} { i → GN.STF} { j → GN.HURR.ABS.SG}@39.2@URU'},,,,,,
36,KUB 48.13,,821,Vs. 9′,AŠ-RI-ŠU,,<aGr>AŠ-RI-ŠU</aGr>,#AŠ-RI-ŠU#,,,,,,,,,,,,,1h ,{'lg': 'Hit', 'mrp1': 'AŠRU@Ort@{ a → ACC.SG(UNM)=POSS.3SG.ACC.SG.N} { b → NOM.SG(UNM)_DEM2/3.GEN.SG} { c → ACC.SG(UNM)_DEM2/3.GEN.SG} { d → NOM.PL(UNM)_DEM2/3.GEN.SG} { e → ACC.PL(UNM)_DEM2/3.GEN.SG} { f → GEN.SG(UNM)_DEM2/3.GEN.SG} { g → GEN.PL(UNM)_DEM2/3.GEN.SG} { h → D/L.SG(UNM)_DEM2/3.GEN.SG} { i → D/L.PL(UNM)_DEM2/3.GEN.SG} { j → ALL(UNM)_DEM2/3.GEN.SG} { k → ABL(UNM)_DEM2/3.GEN.SG} { l → INS(UNM)_DEM2/3.GEN.SG} { m → VOC.SG(UNM)_DEM2/3.GEN.SG} { n → VOC.PL(UNM)_DEM2/3.GEN.SG}@@'},,,,,,,,
37,KUB 48.13,,821,Vs. 10′,,,"<space c=""2""/>",**,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
38,KUB 48.13,,821,Vs. 10′,LÚ,,<sGr>LÚ</sGr><d>MEŠ</d>,LÚ~MEŠ~,,,,,,,,,,,,,1c ,{'lg': 'Hit', 'mrp1': 'LÚ=a-@Mann@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1@', 'mrp2': 'LÚ=a-@Ziti@{ a → PNm.NOM.SG(UNM)} { b → PNm.ACC.SG(UNM)} { c → PNm.GEN.SG(UNM)} { d → PNm.D/L.SG(UNM)} { e → PNm.ABL(UNM)} { f → PNm.INS(UNM)} { g → PNm.VOC.SG(UNM)}@38.1@m'},,,,,,,
39,KUB 48.13,,821,Vs. 10′,ziḫalukka,,<d>URU</d>zi<del_fin/>-ḫa-lu-uk-ka,~URU~zi]-ḫa-lu-uk-ka,,,,,,,,,,,,,1c ,{'lg': 'Hit', 'mrp1': 'ziḫalukk=a-@Za/iḫaluk(k)a@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG} { i → GN.STF} { j → GN.HURR.ABS.SG}@39.2@URU', 'mrp2': 'ziḫaluk=@Za/iḫaluk(k)a@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.1@URU += ya@CNJadd@', 'mrp3': 'ziḫaluk=a-@Za/iḫaluk(k)a@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.2@URU += ya@CNJadd@'},,,,,,
40,KUB 48.13,,821,Vs. 10′,2,,<num/>2,2,,,<num/>2,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': '2@zwei@@QUANcar@'},,,,,,,,
41,KUB 48.13,,821,Vs. 10′,MÁŠ.GAL,,<sGr>MÁŠ.GAL</sGr>,MÁŠ.GAL,,,,,,,,,,,,,1b ,{'lg': 'Hit', 'mrp1': 'MÁŠ.GAL=@Ziegenbock@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.5@'},,,,,,,,
42,KUB 48.13,,821,Vs. 10′,GE₆,,<sGr>GE₆</sGr>,GE₆,,,,,,,,,,,,,2b ,{'lg': 'Hit', 'mrp1': 'GE₆=ant-@Nacht@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.13.1@', 'mrp2': 'GE₆=i-@dunkel@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)} { n → ADV(UNM)}@28.2.2@'},,,,,,,
43,KUB 48.13,,821,Vs. 10′,2,,<num/>2,2,,,<num/>2,,,,,,,,,,1,{'lg': 'Hit', 'mrp1': '2@zwei@@QUANcar@'},,,,,,,,
